Step;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded;;;;;;;;
30000;-158,9516296;-162,0576324;-179,5419922;-178,4907837;;;;;;;;
60000;-157,3535156;-162,7324371;-173,5321808;-179,9612427;;;;;;;;
90000;-155,0546722;-158,2904205;-168,9163361;-175,4963989;;;;;;;;
120000;-151,9328918;-163,2069855;-169,0353546;-175,3517609;;;;;;;;
150000;-147,684021;-162,0673676;-164,7459869;-173,5996704;;;;;;;;
180000;-146,0982208;-160,9849854;-158,6242371;-173,2585907;;;;;;;;
210000;-148,8442688;-156,6897125;-160,9151764;-171,6727295;;;;;;;;
240000;-135,8904114;-154,9536743;-157,0633545;-163,8041687;;;;;;;;
270000;-126,2397995;-137,4178772;-151,9710846;-162,7992096;;;;;;;;
300000;-119,1592712;-125,2955017;-147,3917389;-158,9722137;;;;;;;;
330000;-114,6954803;-143,1306763;-144,4990692;-150,1647797;;;;;;;;
360000;-122,9971848;-144,2952881;-129,4251556;-154,1248474;;;;;;;;
390000;-174,3151398;-143,4046783;-110,9190063;-150,5585785;;;;;;;;
420000;-167,9946289;-142,9368744;-117,9373856;-140,0947876;;;;;;;;
450000;-154,0651093;-151,0124512;-95,61933136;-124,8966904;;;;;;;;
480000;-136,6863098;-161,0523529;-93,32789612;-129,1282501;;;;;;;;
510000;-148,7616119;-148,2674561;-100,1850204;-105,5301743;;;;;;;;
540000;-134,7343597;-141,5209045;-80,81404877;-117,0033951;;;;;;;;
570000;-96,52975464;-131,9874115;-85,60868073;-91,45050049;;;;;;;;
600000;-131,3695221;-129,6758575;-83,78541565;-99,37760162;;;;;;;;
630000;-132,5287933;-126,793663;-77,94776154;-97,51315308;;;;;;;;
660000;-132,3387604;-119,4611053;-83,33945465;-96,37223816;;;;;;;;
690000;-122,6205139;-121,4878235;-83,24950409;-82,51360321;;;;;;;;
720000;-93,12742615;-128,1355896;-68,05627441;-85,80773163;;;;;;;;
750000;-75,53974915;-127,6050797;-77,33517456;-83,67700958;;;;;;;;
780000;-17,62386703;-114,6217804;-65,15351105;-77,22244263;;;;;;;;
810000;10,67463779;-93,6957016;-68,09721375;-77,36864471;;;;;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded
840000;50,46949768;-102,5659943;-65,67466736;-71,48973846;;;;;2739,901855;2845,904297;2034,122437;2106,109375
870000;182,0287933;-94,98567963;-65,733078;-64,26959991;;;;;;;;
900000;220,5736847;-104,6896439;-49,52909088;-61,91687393;;;;;;;;
930000;266,131897;-82,98444366;-57,01704788;-59,34149933;;;;;;;;
960000;272,130249;-82,5388031;-31,05719566;-69,68415833;;;;;;;;
990000;477,0535278;-78,79347992;-41,52180099;-72,18312836;;;;;;;;
1020000;515,5586548;-75,17275238;-18,32060432;-67,40052032;;;;;;;;
1050000;641,914917;-78,06851196;-36,1437149;-46,67036438;;;;;;;;
1080000;930,159729;-81,19075775;-26,29263306;-49,80992126;;;;;;;;
1110000;821,6104126;-66,81371307;-26,04211807;-49,54353333;;;;;;;;
1140000;952,6065674;-57,11914444;-8,400905609;-47,39567184;;;;;;;;
1170000;925,8604126;-63,4098053;-4,101277828;-70,98474121;;;;;;;;
1200000;1107,415527;-61,0020752;-5,018884659;-53,7029686;;;;;;;;
1230000;1077,725708;-57,20598984;26,40266037;-74,87863922;;;;;;;;
1260000;1090,528198;-45,24160767;37,22653961;-60,03678513;;;;;;;;
1290000;1455,528198;-40,12425232;39,41518784;-54,05953217;;;;;;;;
1320000;1547,321045;-37,60705566;27,28614616;-29,28524971;;;;;;;;
1350000;1598,22522;-5,321812153;92,07922363;-30,72855568;;;;;;;;
1380000;1748,604614;41,2869072;77,23375702;-33,43649673;;;;;;;;
1410000;1726,145996;109,6782684;34,56774521;-0,177121848;;;;;;;;
1440000;1728,048706;166,8891754;62,03732681;-20,5822258;;;;;;;;
1470000;1907,940552;191,5783386;100,1574097;-12,68172359;;;;;;;;
1500000;1873,197266;237,1532288;100,5373154;-6,054744244;;;;;;;;
1530000;1907,609009;462,2924805;78,62166595;10,40571499;;;;;;;;
1560000;1752,151001;519,5673218;109,0170441;15,74841118;;;;;;;;
1590000;1940,024902;585,0057373;86,53125;0,712371171;;;;;;;;
1620000;2070,554688;721,5018311;133,5940552;-3,742472172;;;;;;;;
1650000;2160,892334;817,9885254;145,1784515;32,79521179;;;;;;;;
1680000;2176,369629;897,0113525;219,3234558;53,07026291;;;;;;;;
1710000;1994,330933;1025,159668;233,0021057;35,37164688;;;;;;;;
1740000;2113,862061;1207,489014;249,4887848;38,97333527;;;;;;;;
1770000;2196,573242;1272,365601;264,4479065;62,63404846;;;;;;;;
1800000;77,08432007;1117,463257;293,5888367;29,55821037;;;;;;;;
1830000;-139,8577271;442,58078;229,6779022;58,90049744;;;;;;;;
1860000;-133,4974518;148,6787109;291,3627319;54,16631699;;;;;;;;
1890000;-128,2579193;506,7089233;252,2345734;44,37712479;;;;;;;;
