Step;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded
30000;999,0;999,0;999,0;999,0
60000;999,0;999,0;999,0;999,0
90000;999,0;999,0;999,0;999,0
120000;999,0;999,0;999,0;999,0
150000;999,0;999,0;999,0;999,0
180000;999,0;999,0;999,0;999,0
210000;999,0;999,0;999,0;999,0
240000;999,0;999,0;999,0;999,0
270000;999,0;999,0;999,0;999,0
300000;999,0;999,0;999,0;999,0
330000;999,0;999,0;999,0;999,0
360000;999,0;999,0;999,0;999,0
390000;999,0;999,0;999,0;999,0
420000;999,0;999,0;999,0;999,0
450000;999,0;999,0;999,0;999,0
480000;999,0;999,0;999,0;999,0
510000;999,0;999,0;999,0;999,0
540000;999,0;999,0;999,0;999,0
570000;999,0;999,0;999,0;999,0
600000;999,0;999,0;999,0;999,0
630000;999,0;999,0;999,0;999,0
660000;999,0;999,0;999,0;999,0
690000;999,0;999,0;999,0;999,0
720000;999,0;999,0;999,0;999,0
750000;999,0;999,0;999,0;999,0
780000;999,0;999,0;999,0;999,0
810000;999,0;999,0;999,0;999,0
840000;999,0;999,0;999,0;999,0
870000;999,0;999,0;999,0;999,0
900000;999,0;999,0;999,0;999,0
930000;999,0;999,0;999,0;999,0
960000;999,0;999,0;999,0;999,0
990000;999,0;999,0;999,0;999,0
1020000;999,0;999,0;999,0;999,0
1050000;999,0;999,0;999,0;999,0
1080000;999,0;999,0;999,0;999,0
1110000;999,0;999,0;999,0;999,0
1140000;999,0;999,0;999,0;999,0
1170000;999,0;999,0;999,0;999,0
1200000;999,0;999,0;999,0;999,0
1230000;999,0;999,0;999,0;999,0
1260000;999,0;999,0;999,0;999,0
1290000;999,0;999,0;999,0;999,0
1320000;999,0;999,0;999,0;999,0
1350000;999,0;999,0;999,0;999,0
1380000;999,0;999,0;999,0;999,0
1410000;999,0;999,0;999,0;999,0
1440000;999,0;999,0;999,0;999,0
1470000;999,0;999,0;999,0;999,0
1500000;999,0;999,0;999,0;999,0
1530000;999,0;999,0;999,0;999,0
1560000;999,0;999,0;999,0;999,0
1590000;999,0;999,0;999,0;999,0
1620000;999,0;999,0;999,0;999,0
1650000;999,0;999,0;999,0;999,0
1680000;999,0;999,0;999,0;999,0
1710000;999,0;999,0;999,0;999,0
1740000;999,0;999,0;999,0;999,0
1770000;999,0;999,0;999,0;999,0
1800000;999,0;999,0;999,0;999,0
1830000;999,0;999,0;999,0;999,0
1860000;999,0;999,0;999,0;999,0
1890000;999,0;999,0;999,0;999,0
1920000;999,0;999,0;999,0;999,0
1950000;999,0;999,0;999,0;999,0
1980000;999,0;999,0;999,0;999,0
2010000;999,0;999,0;999,0;999,0
2040000;999,0;999,0;999,0;999,0
2070000;999,0;999,0;999,0;999,0
2100000;999,0;999,0;999,0;999,0
2130000;999,0;999,0;999,0;999,0
2160000;999,0;999,0;999,0;999,0
2190000;999,0;999,0;999,0;999,0
2220000;999,0;999,0;999,0;999,0
2250000;999,0;999,0;999,0;999,0
2280000;999,0;999,0;999,0;999,0
2310000;999,0;999,0;999,0;999,0
2340000;999,0;999,0;999,0;999,0
2370000;999,0;999,0;999,0;999,0
2400000;999,0;999,0;999,0;999,0
2430000;999,0;999,0;999,0;999,0
2460000;999,0;999,0;999,0;999,0
2490000;999,0;999,0;999,0;999,0
2520000;999,0;999,0;999,0;999,0
2550000;999,0;999,0;999,0;999,0
2580000;999,0;999,0;999,0;999,0
2610000;999,0;999,0;999,0;999,0
2640000;999,0;999,0;999,0;999,0
2670000;999,0;999,0;999,0;999,0
2700000;999,0;999,0;999,0;999,0
2730000;999,0;999,0;999,0;999,0
2760000;999,0;999,0;999,0;999,0
2790000;999,0;999,0;999,0;999,0
2820000;999,0;999,0;999,0;999,0
2850000;999,0;999,0;999,0;999,0
2880000;999,0;999,0;999,0;999,0
2910000;999,0;999,0;999,0;999,0
2940000;999,0;999,0;999,0;999,0
2970000;999,0;999,0;999,0;999,0
3000000;999,0;999,0;999,0;999,0
3030000;999,0;999,0;999,0;999,0
3060000;999,0;999,0;999,0;999,0
3090000;999,0;999,0;999,0;999,0
3120000;999,0;999,0;999,0;999,0
3150000;999,0;999,0;999,0;999,0
3180000;999,0;999,0;999,0;999,0
3210000;999,0;999,0;999,0;999,0
3240000;999,0;999,0;999,0;999,0
3270000;999,0;999,0;999,0;999,0
3300000;999,0;999,0;999,0;999,0
3330000;999,0;999,0;999,0;999,0
3360000;999,0;999,0;999,0;999,0
3390000;999,0;999,0;999,0;999,0
3420000;999,0;999,0;999,0;999,0
3450000;999,0;999,0;999,0;999,0
3480000;999,0;999,0;999,0;999,0
3510000;999,0;999,0;999,0;999,0
3540000;999,0;999,0;999,0;999,0
3570000;999,0;999,0;999,0;999,0
3600000;999,0;999,0;999,0;999,0
3630000;999,0;999,0;999,0;999,0
3660000;999,0;999,0;999,0;999,0
3690000;999,0;999,0;999,0;999,0
3720000;999,0;999,0;999,0;999,0
3750000;999,0;999,0;999,0;999,0
3780000;999,0;999,0;999,0;999,0
3810000;999,0;999,0;999,0;999,0
3840000;999,0;999,0;999,0;999,0
3870000;999,0;999,0;999,0;999,0
3900000;999,0;999,0;999,0;999,0
3930000;999,0;999,0;999,0;999,0
3960000;999,0;999,0;999,0;999,0
3990000;999,0;999,0;999,0;999,0
4020000;999,0;999,0;999,0;999,0
4050000;999,0;999,0;999,0;999,0
4080000;999,0;999,0;999,0;999,0
4110000;999,0;999,0;999,0;999,0
4140000;999,0;999,0;999,0;999,0
4170000;999,0;999,0;999,0;999,0
4200000;999,0;999,0;999,0;999,0
4230000;999,0;999,0;999,0;999,0
4260000;999,0;999,0;999,0;999,0
4290000;999,0;999,0;999,0;999,0
4320000;999,0;999,0;999,0;999,0
4350000;999,0;999,0;999,0;999,0
4380000;999,0;999,0;999,0;999,0
4410000;999,0;999,0;999,0;999,0
4440000;999,0;999,0;999,0;999,0
4470000;999,0;999,0;999,0;999,0
4500000;999,0;999,0;999,0;999,0
4530000;999,0;999,0;999,0;999,0
4560000;999,0;999,0;999,0;999,0
4590000;999,0;999,0;999,0;999,0
4620000;999,0;999,0;999,0;999,0
4650000;999,0;999,0;999,0;999,0
4680000;999,0;999,0;999,0;999,0
4710000;999,0;999,0;999,0;999,0
4740000;999,0;999,0;999,0;999,0
4770000;999,0;999,0;999,0;999,0
4800000;999,0;999,0;999,0;999,0
4830000;999,0;999,0;999,0;999,0
4860000;999,0;999,0;999,0;999,0
4890000;999,0;999,0;999,0;999,0
4920000;999,0;999,0;999,0;999,0
4950000;999,0;999,0;999,0;999,0
4980000;999,0;999,0;999,0;999,0
5010000;;;999,0;999,0
5040000;;;999,0;999,0
5070000;;;999,0;999,0
5100000;;;999,0;999,0
5130000;;;999,0;999,0
5160000;;;999,0;999,0
5190000;;;999,0;999,0
5220000;;;999,0;999,0
5250000;;;999,0;999,0
5280000;;;999,0;999,0
5310000;;;999,0;999,0
5340000;;;999,0;999,0
5370000;;;999,0;999,0
5400000;;;999,0;999,0
5430000;;;999,0;999,0
5460000;;;999,0;999,0
5490000;;;999,0;999,0
5520000;;;999,0;999,0
5550000;;;999,0;999,0
5580000;;;999,0;999,0
5610000;;;999,0;999,0
5640000;;;999,0;999,0
5670000;;;999,0;999,0
5700000;;;999,0;999,0
5730000;;;999,0;999,0
5760000;;;999,0;999,0
5790000;;;999,0;999,0
5820000;;;999,0;999,0
5850000;;;999,0;999,0
5880000;;;999,0;999,0
5910000;;;999,0;999,0
5940000;;;999,0;999,0
5970000;;;999,0;999,0
6000000;;;999,0;999,0
6030000;;;999,0;999,0
6060000;;;999,0;999,0
6090000;;;999,0;999,0
