Step;ppg_expanded
360000;454,0102233886719
690000;343,6455383300781
1020000;219,59512329101562
1350000;113,25654602050781
1710000;137,76248168945312
2040000;191,70896911621094
2370000;509,2344665527344
2700000;626,4708862304688
3030000;722,7950439453125
3390000;975,8805541992188
3720000;556,463134765625
4050000;605,5200805664062
4380000;573,5184326171875
4710000;688,9207153320312
5070000;546,1260375976562
5400000;566,9292602539062
5730000;510,0453796386719
6060000;718,9452514648438
6390000;457,5650939941406
6750000;699,2840576171875
7080000;601,3319702148438
7410000;462,2953796386719
7740000;556,7368774414062
8070000;518,7771606445312
8430000;510,4645080566406
8760000;460,6152648925781
9090000;409,8177490234375
9420000;495,3760070800781
9750000;374,3764343261719
