Step;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded
30000;-62,200233459472656;-64,02566528320312;0,0178247410804033;3,211639642715454
60000;-140,92391967773438;-140,6704559326172;0,0125553859397768;2,9814400672912598
90000;-189,1026306152344;-186,22608947753903;0,018717847764492;2,681454658508301
120000;-216,2599029541016;-208,4512634277344;0,0174716897308826;2,4375438690185547
150000;-228,94561767578125;-216,6565093994141;0,0156536251306533;2,109579563140869
180000;-233,313705444336;-216,4165954589844;0,0151963867247104;1,7840802669525146
210000;-232,2182464599609;-211,012435913086;0,0172461327165365;1,595635175704956
240000;-227,82383728027344;-202,92495727539065;0,0145858498290181;1,3316104412078857
270000;-221,589599609375;-193,6785888671875;0,0127866463735699;1,1523821353912354
300000;-213,9141082763672;-183,7662506103516;0,0167341623455286;0,9402920007705688
330000;-205,7218170166016;-173,78871154785156;0,012104807421565;0,6266250610351562
360000;-197,71530151367188;-164,15423583984375;0,0156983826309442;0,47950121760368347
390000;-189,8611602783203;-155,15020751953125;0,0172123871743679;0,26666298508644104
420000;-182,3543701171875;-146,51206970214844;0,0175471492111682;0,46317344903945923
450000;-175,21453857421875;-138,47811889648438;0,0157449357211589;0,5266762375831604
480000;-168,49014282226562;-130,8199005126953;0,0185615941882133;0,5317177772521973
510000;-161,93035888671875;-123,5992202758789;0,015188361518085;0,6438431739807129
540000;-155,47976684570312;-116,68783569335938;0,0179871339350938;0,6650420427322388
570000;-149,77645874023438;-110,50466918945312;0,0173656921833753;0,6980226635932922
600000;-144,45562744140625;-104,68891143798828;0,0175936371088027;0,5665566921234131
630000;-138,7576446533203;-98,98324584960938;0,0132388919591903;0,489540696144104
660000;-134,13131713867188;-93,70117950439452;0,0138967689126729;0,5394828915596008
690000;-129,6450958251953;-88,66413879394531;0,0173029769212007;0,37074872851371765
720000;-124,50765991210938;-83,5520248413086;0,0170877873897552;0,40662363171577454
750000;-120,14854431152344;-78,79165649414062;0,0190910343080759;0,1760483682155609
780000;-116,81175231933594;-74,70055389404297;0,0176185779273509;0,3505411744117737
810000;-113,90039825439452;-70,93167877197266;0,0214481987059116;0,15413250029087067
840000;-110,94620513916016;-67,34577178955078;0,0182101316750049;0,1131601333618164
870000;-109,34625244140624;-63,78667831420898;0,0206248369067907;0,21981632709503174
900000;-108,41388702392578;-60,523284912109375;0,0164060536772012;0,033628515899181366
930000;-108,41175842285156;-57,303749084472656;0,0169760733842849;0,10176500678062439
960000;-108,89196014404295;-54,24856185913086;0,0194373708218336;0,01617191918194294
990000;-109,86390686035156;-51,48892211914063;0,0150078572332859;0,06541978567838669
1020000;-112,6537094116211;-48,84449768066406;0,014641118235886;0,057315073907375336
1050000;-117,11104583740234;-46,32324600219727;0,015236428938806;0,3470311760902405
1080000;-121,47404479980467;-43,95096206665039;0,0199523512274026;0,5613887310028076
1110000;-126,8334503173828;-41,75407791137695;0,0145357931032776;0,45962584018707275
1140000;-134,7954559326172;-39,625030517578125;0,0169159974902868;0,40723371505737305
1170000;-141,00885009765625;-37,68105697631836;0,0210475455969572;0,038878679275512695
1200000;-147,86154174804688;-35,87087631225586;0,0183218568563461;0,09094774723052979
1230000;-158,05833435058594;-34,28047561645508;0,019098687916994;0,05349009856581688
1260000;-166,5006866455078;-32,88239669799805;0,0166721269488334;0,1488802582025528
1290000;-173,23089599609375;-31,59732437133789;0,0161864198744297;0,11787684261798859
1320000;-181,27468872070312;-30,54178810119629;0,0167701914906501;0,37714460492134094
1350000;-190,72018432617188;-29,77996253967285;0,0170938540250062;0,21870271861553192
1380000;-198,2657623291016;-29,11612129211425;0,0139396823942661;0,23917609453201294
1410000;-205,5736541748047;-28,7408447265625;0,0159294847398996;0,3284721076488495
1440000;-216,63357543945312;-28,92920112609864;0,0183930452913045;0,31923431158065796
1470000;-223,7714385986328;-29,22590065002441;0,0186298713088035;0,11864804476499557
1500000;-230,6294708251953;-29,958709716796875;0,0162884574383497;0,3887665271759033
1530000;-238,31954956054688;-31,53804397583008;0,0195506047457456;0,39097508788108826
1560000;-244,8794708251953;-33,754638671875;0,0172148421406745;0,4653269350528717
1590000;-250,8064727783203;-36,325191497802734;0,0137037429958581;0,4296761751174927
1620000;-257,5724182128906;-39,69757843017578;0,0153412269428372;0,4164499342441559
1650000;-265,9630432128906;-44,456275939941406;0,0133142517879605;0,6366162896156311
1680000;-272,7955017089844;-49,4563102722168;0,0160907804965972;0,8809784650802612
1710000;-279,4931640625;-55,365943908691406;0,0171004701405763;0,4776568114757538
1740000;-288,1030578613281;-65,14994812011719;0,0135477529838681;0,09772249311208725
1770000;-294,85772705078125;-73,14744567871094;0,0179531350731849;0,22323326766490936
1800000;-301,54345703125;-80,67721557617188;0,0197655465453863;0,5816080570220947
1830000;-305,615478515625;-89,43011474609375;0,0174181200563907;0,6049583554267883
1860000;-307,8266906738281;-97,7187728881836;0,0185972675681114;0,2933941185474396
1890000;-309,7760925292969;-104,18291473388672;0,0172280389815568;0,1492861658334732
1920000;-310,29315185546875;-111,28341674804688;0,0169210266321897;0,2312045395374298
1950000;-304,3558349609375;-119,14552307128906;0,0171719901263713;0,7505547404289246
1980000;-303,7337951660156;-126,25102996826172;0,0184400584548711;1,1878582239151
2010000;-302,8361511230469;-132,70738220214844;0,0203701388090848;1,5515778064727783
2040000;-289,0244140625;-138,61373901367188;0,0146406879648566;0,6870655417442322
2070000;-283,0509948730469;-145,22305297851562;0,0156177580356597;0,5671053528785706
2100000;-280,7592163085937;-152,5157012939453;0,0131441466510295;0,9948800802230835
2130000;-267,4873962402344;-157,7599639892578;0,0171721037477254;0,914424479007721
2160000;-248,65060424804688;-161,69041442871094;0,0176827292889356;1,0633364915847778
2190000;-253,4916381835937;-168,2369384765625;0,0134546104818582;1,0741798877716064
2220000;-261,9060974121094;-174,8914794921875;0,0170783512294292;1,1688636541366577
2250000;-252,4464569091797;-177,64891052246094;0,0144153209403157;1,5207313299179077
2280000;-264,2719421386719;-184,64285278320312;0,016485346481204;0,7687735557556152
2310000;-275,3067321777344;-191,86648559570312;0,0205850563943386;1,4552075862884521
2340000;-293,6325378417969;-202,4010467529297;0,0196745432913303;1,4632116556167603
