Step;ppo_expanded_looking;ppg_expanded_looking;sac_expanded_looking;droQ_expanded_looking;;;;;;
30000;49,11882401;58,21525574;41,29927826;32,45962143;;;;;;
60000;47,34406281;57,05459595;45,08965302;33,64109039;;;;;;
90000;51,60001755;59,39573669;37,96026993;36,51225281;;;;;;
120000;56,54036713;61,05329514;44,75077438;38,89570236;;;;;;
150000;61,08496094;64,43802643;41,21097183;32,05147171;;;;;;
180000;52,11666107;61,7048912;47,71070862;39,33551025;;;;;;
210000;55,20509338;56,71346664;37,51182175;33,54868317;;;;;;
240000;50,53592682;65,68761444;30,95376587;36,22811508;;;;;;
270000;52,96216583;64,60060883;30,63825989;35,84143829;;;;;;
300000;58,16638184;65,76180267;42,39965057;33,74233627;;;;;;
330000;58,74793625;63,57604218;29,87522125;32,82800674;;;;;;
360000;59,84817505;64,52829742;35,93448639;32,24475479;;;;;;
390000;57,93511581;65,21504974;18,17470932;21,63263702;;;;;;
420000;57,76861954;63,87148285;19,13676453;12,45715237;;;;;;
450000;61,16258621;62,10591507;23,14216232;12,30049706;;;;;;
480000;60,21870422;60,91018295;18,28504944;9,916854858;;;;;;
510000;57,67481995;59,60642624;11,7089138;18,53516388;;;;;;
540000;51,09655762;66,64009094;19,37934875;17,408638;;;;;;
570000;62,1417923;65,56321716;22,78074074;14,29413605;;;;;;
600000;58,8627739;60,46600342;17,44593811;33,74876022;;;;;;
630000;65,50469971;62,26360703;19,16558838;14,63833427;;;;;;
660000;65,87386322;67,64689636;19,87075806;19,79732323;;;;;;
690000;56,12342453;63,66296768;25,6979847;16,24067497;;;;;;
720000;66,31983948;63,61172485;15,31642246;18,98670006;;;;;;
750000;53,01910782;64,57016754;20,57321739;17,31664848;;;;;;
780000;70,1674118;65,47429657;16,42585754;8,939414024;;;;;;
810000;62,99400711;65,28253937;12,96008015;13,46228027;;;;;;
840000;64,54110718;64,31403351;9,73736763;22,43850708;;;;;;
870000;62,15309525;68,8707962;10,93725967;22,87831879;;;;;;
900000;67,36480713;66,7012558;17,04795265;23,27048874;;;;;;
930000;61,16115952;71,12719727;12,0083971;14,40027237;;;;;;
960000;54,34484863;73,27051544;7,711319923;13,42735958;;;;;;
990000;61,38670731;71,28681183;11,72894955;11,98761463;;;;;;
1020000;69,15818024;66,07975006;11,40777111;9,314190865;;;;;;
1050000;67,40625;64,50374603;11,39087582;15,07130241;;;;;;
1080000;64,57450867;71,14341736;9,843277931;8,394069672;;;;;;
1110000;61,74825668;67,96898651;10,60754108;18,40382767;;;;;;
1140000;69,52143097;66,60951233;13,09916592;32,49370956;;;;;;
1170000;67,54407501;70,19649506;7,777965546;31,42245102;;;ppo_expanded_looking;ppg_expanded_looking;sac_expanded_looking;droQ_expanded_looking
1200000;65,17237854;73,14357758;10,82997799;21,02360344;;;78,74291229;180,7162628;179,3532104;133,2280121
1230000;65,28070831;65,09497833;14,68869114;25,38737297;;;;;;
1260000;55,50365067;68,40209961;9,611961365;34,08008957;;;;;;
1290000;48,95801163;69,5984726;11,2034235;23,61034584;;;;;;
1320000;54,19298172;71,33237457;11,90889454;34,95778656;;;;;;
1350000;56,87311172;79,65213776;13,02197552;41,91802216;;;;;;
1380000;59,43967819;72,84247589;10,60288334;32,92293549;;;;;;
1410000;48,65226364;79,17694092;7,65799284;33,94817352;;;;;;
1440000;53,09753418;70,34848785;7,714049816;24,90316391;;;;;;
1470000;67,13755035;83,38768005;9,667859077;34,77682877;;;;;;
1500000;60,94669342;69,87050629;8,185440063;27,00250244;;;;;;
1530000;70,32492065;66,90100098;7,19779253;28,98615837;;;;;;
1560000;64,91564941;60,22720718;6,793322563;27,41969109;;;;;;
1590000;70,39940643;52,85475922;8,887660027;32,18475723;;;;;;
1620000;74,70738983;70,88890076;7,358268738;49,58948135;;;;;;
1650000;72,76841736;64,32875061;6,745279789;30,50738525;;;;;;
1680000;66,05349731;59,909729;8,229715347;33,59031296;;;;;;
1710000;59,55642319;65,58467865;7,471857548;48,11680222;;;;;;
1740000;76,40434265;73,67378235;7,180112839;48,37785721;;;;;;
1770000;63,19749832;70,06278229;7,373813152;47,24384308;;;;;;
1800000;66,99375153;69,73946381;6,335057735;40,51121902;;;;;;
1830000;60,30183411;76,93703461;7,29417038;30,39222717;;;;;;
1860000;68,9986496;83,76706696;8,6632967;38,66059875;;;;;;
1890000;65,54312134;76,4175415;7,400727749;32,83624268;;;;;;
1920000;63,39800644;72,7815094;6,177066803;28,65765381;;;;;;
1950000;64,44075775;66,9671402;5,642680645;37,13362885;;;;;;
1980000;70,39988708;62,16029739;8,706806183;46,00892258;;;;;;
2010000;61,26221466;72,97000122;8,426160812;37,32158661;;;;;;
2040000;70,40232849;74,80480194;8,537583351;44,90775299;;;;;;
2070000;68,31829834;73,87561798;6,915354252;39,98026657;;;;;;
2100000;67,00440979;83,69568634;7,277484417;45,70709229;;;;;;
2130000;76,20592499;75,09558105;7,194852352;51,47683334;;;;;;
2160000;66,71418762;78,74095154;7,755218506;46,67938995;;;;;;
2190000;73,57749176;74,08462524;8,511157036;51,83854294;;;;;;
2220000;67,14222717;83,73045349;8,391366959;45,2195282;;;;;;
2250000;67,70439911;83,95436096;8,67512989;53,34191132;;;;;;
2280000;64,39811707;78,04970551;8,828816414;60,06618881;;;;;;
