Step;ppo_expanded_looking;ppg_expanded_looking;sac_expanded_looking;droQ_expanded_looking
30000;858,75;999,0;799,8421020507812;718,1904907226562
60000;840,5428466796875;999,0;933,15625;720,40478515625
90000;942,15625;999,0;844,2777709960938;734,219482421875
120000;967,258056640625;999,0;928,875;778,2105102539062
150000;997,9666748046876;999,0;975,6774291992188;708,0
180000;909,3333129882812;999,0;926,71875;821,8919067382812
210000;958,9031982421876;999,0;947,84375;922,0
240000;909,5757446289062;999,0;845,971435546875;931,5
270000;910,2120971679688;999,0;999,0;908,1514892578125
300000;942,8125;999,0;999,0;872,7647094726562
330000;944,21875;999,0;999,0;977,1613159179688
360000;996,7666625976562;999,0;889,7647094726562;933,15625
390000;937,40625;999,0;902,1818237304688;785,2894897460938
420000;937,0;999,0;863,2000122070312;720,9512329101562
450000;967,3548583984376;999,0;828,0277709960938;976,741943359375
480000;951,2903442382812;999,0;766,4871826171875;980,774169921875
510000;909,272705078125;999,0;831,861083984375;952,0968017578125
540000;804,1080932617188;999,0;851,2000122070312;888,0
570000;970,774169921875;999,0;871,941162109375;999,0
600000;874,2647094726562;999,0;765,5250244140625;999,0
630000;933,3125;999,0;915,5625;966,9354858398438
660000;937,3125;999,0;792,4473876953125;967,0
690000;831,9729614257812;999,0;875,6286010742188;844,94287109375
720000;926,8125;999,0;856,0;929,5
750000;774,6410522460938;999,0;873,2352905273438;804,0263061523438
780000;967,0968017578124;999,0;949,3548583984376;732,4390258789062
810000;909,727294921875;999,0;999,0;665,6221923828125
840000;963,2903442382812;999,0;842,0555419921875;769,1842041015625
870000;925,15625;999,0;871,5714111328125;906,5882568359375
900000;919,51513671875;999,0;962,8709716796876;934,46875
930000;851,7714233398438;999,0;833,0;983,6333618164062
960000;734,9755859375;999,0;839,0277709960938;962,8064575195312
990000;860,2000122070312;999,0;974,0968017578124;941,5625
1020000;918,59375;999,0;903,0302734375;914,0302734375
1050000;942,3125;999,0;953,4375;966,9354858398438
1080000;877,61767578125;999,0;886,8181762695312;999,0
1110000;891,2352905273438;999,0;817,1351318359375;883,058837890625
1140000;998,5999755859376;999,0;857,0;994,8666381835938
1170000;934,375;999,0;856,914306640625;945,25
1200000;894,6969604492188;999,0;919,8485107421876;908,48486328125
1230000;965,774169921875;999,0;999,0;966,9031982421875
1260000;753,5499877929688;999,0;851,3713989257812;967,1613159179688
1290000;721,1463623046875;993,8709716796876;866,8529663085938;940,625
1320000;751,5750122070312;999,0;966,8709716796876;952,4193725585938
1350000;745,8499755859375;992,3666381835938;920,9091186523438;909,1514892578125
1380000;826,729736328125;943,65625;966,8709716796876;999,0
1410000;697,720947265625;999,0;811,2432250976562;909,0606079101562
1440000;807,4865112304688;927,8125;846,4285888671875;793,6578979492188
1470000;903,3939208984376;985,8666381835938;953,5625;999,0
1500000;827,0833129882812;900,3529663085938;838,5428466796875;683,906982421875
1530000;967,1613159179688;896,3333129882812;743,4500122070312;834,9722290039062
1560000;800,2105102539062;926,65625;863,1428833007812;881,941162109375
1590000;904,5454711914062;899,38232421875;999,0;825,2222290039062
1620000;894,1818237304688;898,3333129882812;898,8529663085938;885,3235473632812
1650000;908,5454711914062;880,9705810546875;868,3235473632812;912,8181762695312
1680000;829,0270385742188;888,7058715820312;968,3548583984376;802,5675659179688
1710000;818,7777709960938;870,3235473632812;966,9354858398438;999,0
1740000;952,34375;909,3333129882812;908,51513671875;937,59375
1770000;832,2000122070312;946,25;856,6571655273438;999,0
1800000;865,3713989257812;926,78125;879,3529663085938;940,59375
1830000;838,1944580078125;934,5625;967,6451416015624;883,7058715820312
1860000;919,15625;948,90625;999,0;937,34375
1890000;912,6969604492188;959,3548583984376;936,71875;883,0
1920000;833,6666870117188;903,1212158203124;999,0;886,88232421875
1950000;837,9444580078125;805,1351318359375;858,94287109375;910,8485107421875
1980000;846,5714111328125;817,54052734375;948,4515991210938;999,0
2010000;871,8571166992188;897,7941284179688;892,2941284179688;791,4324340820312
2040000;925,78125;857,5294189453125;966,9677124023438;966,8386840820312
2070000;896,11767578125;907,5454711914062;966,8709716796876;865,94287109375
2100000;889,0;943,5625;966,8709716796876;812,5675659179688
2130000;949,8125;959,0322875976562;966,8386840820312;964,4515991210938
2160000;910,242431640625;910,0908813476562;999,0;967,258056640625
2190000;996,8333129882812;878,3235473632812;999,0;936,75
2220000;912,48486328125;983,258056640625;966,9677124023438;797,5675659179688
2250000;897,1818237304688;987,4666748046876;999,0;942,875
2280000;921,272705078125;996,5333251953124;966,8386840820312;966,9354858398438
2310000;984,1666870117188;952,5;999,0;910,3030395507812
2340000;870,38232421875;951,6129150390624;999,0;919,0302734375
2370000;876,7142944335938;926,5757446289062;936,90625;735,5609741210938
2400000;937,4375;928,1875;999,0;684,534912109375
2430000;967,0645141601562;846,8857421875;939,21875;824,2777709960938
2460000;999,0;929,757568359375;999,0;816,5946044921875
2490000;967,1935424804688;910,75;999,0;815,729736328125
2520000;908,6363525390624;935,1875;964,48388671875;657,2391357421875
2550000;999,0;888,7941284179688;908,727294921875;776,4736938476562
2580000;966,8709716796876;846,914306640625;999,0;824,1944580078125
2610000;937,03125;871,3713989257812;967,6451416015624;744,5365600585938
2640000;999,0;962,3870849609376;962,0322875976562;812,6216430664062
2670000;999,0;934,03125;999,0;772,1052856445312
2700000;999,0;881,058837890625;999,0;816,8919067382812
2730000;966,9031982421876;901,6363525390624;967,0;887,7352905273438
2760000;999,0;899,6764526367188;999,0;812,45947265625
2790000;999,0;862,94287109375;999,0;812,8648681640625
2820000;999,0;941,6129150390624;966,9031982421876;758,4102783203125
2850000;966,8709716796876;853,138916015625;936,75;865,1142578125
2880000;999,0;856,38232421875;856,8285522460938;739,7000122070312
2910000;999,0;926,0606079101562;903,6060791015624;774,6410522460938
2940000;999,0;964,6451416015624;925,6969604492188;791,73681640625
2970000;966,9031982421876;877,61767578125;881,941162109375;822,3055419921875
3000000;999,0;903,3030395507812;999,0;859,3713989257812
3030000;908,4545288085938;893,4117431640625;999,0;771,4871826171875
3060000;966,9031982421876;935,96875;999,0;882,058837890625
3090000;966,8709716796876;894,6969604492188;999,0;834,6944580078125
3120000;999,0;915,8485107421876;999,0;838,971435546875
3150000;999,0;909,1212158203124;928,78125;859,6286010742188
3180000;999,0;881,3235473632812;900,6363525390625;857,2285766601562
3210000;999,0;976,0645141601562;909,9091186523438;834,0277709960938
3240000;966,9031982421876;924,90625;962,6129150390624;772,4871826171875
3270000;936,75;974,0;962,6129150390624;775,3846435546875
3300000;999,0;936,75;999,0;813,7838134765625
3330000;999,0;819,5555419921875;916,5454711914062;689,279052734375
3360000;966,8709716796876;850,111083984375;941,625;528,2142944335938
3390000;999,0;919,375;936,96875;795,1578979492188
3420000;999,0;926,8485107421876;999,0;701,6279296875
3450000;999,0;931,1875;999,0;717,8809814453125
3480000;999,0;893,6363525390625;812,8648681640625;865,058837890625
3510000;882,6764526367188;914,9393920898438;999,0;733,8780517578125
3540000;999,0;955,0968017578124;999,0;700,6279296875
3570000;966,8709716796876;941,5625;991,2666625976562;811,5946044921875
3600000;966,8709716796876;970,48388671875;999,0;908,48486328125
3630000;966,8709716796876;851,4571533203125;787,23681640625;750,3333129882812
3660000;966,9031982421876;898,9697265625;509,362060546875;839,4722290039062
3690000;936,78125;909,1764526367188;861,3713989257812;820,810791015625
3720000;999,0;948,2903442382812;923,4545288085938;862,0294189453125
3750000;968,1666870117188;872,5;882,4117431640625;834,9444580078125
3780000;909,8485107421876;845,75;914,8125;782,1025390625
3810000;966,9031982421876;921,09375;999,0;716,3095092773438
3840000;937,71875;931,8787841796876;999,0;751,375
3870000;967,8386840820312;971,5806274414062;932,1212158203124;812,7026977539062
3900000;966,9031982421876;938,1290283203124;990,4000244140624;728,4500122070312
3930000;936,78125;873,4285888671875;964,1290283203124;822,810791015625
3960000;966,9031982421876;873,2941284179688;957,0645141601562;733,375
3990000;920,6363525390624;903,5454711914062;999,0;747,1219482421875
4020000;966,8709716796876;911,3030395507812;999,0;769,7179565429688
4050000;999,0;959,51611328125;999,0;936,84375
4080000;999,0;877,1470336914062;999,0;882,0
4110000;937,5;824,6216430664062;999,0;713,3902587890625
4140000;966,9031982421876;975,225830078125;999,0;752,3250122070312
4170000;999,0;953,4193725585938;999,0;734,4634399414062
4200000;937,65625;943,21875;999,0;780,8204956054688
4230000;981,2000122070312;909,51513671875;999,0;833,138916015625
4260000;999,0;936,6875;999,0;698,7674560546875
4290000;999,0;947,0;966,8709716796876;729,8499755859375
4320000;967,5484008789062;948,5625;927,2120971679688;860,7142944335938
4350000;966,9354858398438;947,25;999,0;881,9117431640625
4380000;999,0;914,53125;967,0645141601562;934,0
4410000;937,375;886,11767578125;997,7666625976562;834,0833129882812
4440000;937,34375;921,5757446289062;982,4666748046876;783,5789184570312
4470000;910,9091186523438;837,4166870117188;981,48388671875;833,5
4500000;882,558837890625;983,1333618164062;999,0;774,5128173828125
4530000;937,5625;945,59375;999,0;881,9117431640625
4560000;936,75;906,272705078125;974,2000122070312;750,9249877929688
4590000;999,0;943,90625;878,7999877929688;908,8181762695312
4620000;936,78125;984,7000122070312;938,0625;751,0499877929688
4650000;999,0;996,6666870117188;922,15625;833,388916015625
4680000;999,0;920,5454711914062;978,225830078125;909,0908813476562
4710000;999,0;889,8181762695312;810,0;784,8157958984375
4740000;967,2903442382812;958,375;986,5806274414062;758,7435913085938
4770000;967,8064575195312;976,7333374023438;999,0;769,6666870117188
4800000;938,25;973,9677124023438;999,0;834,3055419921875
4830000;994,4000244140624;999,0;999,0;711,0465087890625
4860000;937,625;888,6764526367188;999,0;717,9268188476562
4890000;970,2903442382812;882,2647094726562;999,0;751,4500122070312
4920000;909,3333129882812;909,6969604492188;999,0;716,3333129882812
4950000;936,84375;958,5806274414062;999,0;790,76318359375
4980000;966,8709716796876;934,21875;999,0;771,7948608398438
5010000;999,0;906,8787841796876;999,0;745,076904296875
5040000;908,5454711914062;972,8386840820312;999,0;772,5384521484375
5070000;936,84375;930,59375;999,0;643,1702270507812
5100000;999,0;878,7058715820312;999,0;704,7442016601562
5130000;883,1470336914062;977,5806274414062;999,0;685,3181762695312
5160000;999,0;920,9375;999,0;708,0975341796875
5190000;966,9354858398438;905,1514892578124;967,0;738,0
5220000;966,9031982421876;948,71875;926,84375;716,7857055664062
5250000;999,0;917,9697265625;740,6097412109375;734,3902587890625
5280000;967,741943359375;913,3636474609376;941,71875;686,1591186523438
5310000;937,9375;964,8064575195312;925,25;762,8204956054688
5340000;883,6470336914062;961,741943359375;967,0322875976562;750,4749755859375
5370000;999,0;999,0;982,5;777,368408203125
5400000;967,5484008789062;948,51611328125;999,0;701,5581665039062
5430000;999,0;991,7096557617188;884,7647094726562;701,093017578125
5460000;938,1875;926,9375;878,058837890625;717,6190185546875
5490000;937,90625;902,5757446289062;980,1613159179688;728,3250122070312
5520000;966,9031982421876;991,8333129882812;924,71875;685,5908813476562
5550000;999,0;917,7879028320312;944,71875;699,3720703125
5580000;906,65625;879,9117431640625;978,0645141601562;692,5908813476562
5610000;999,0;896,0302734375;999,0;707,5714111328125
5640000;966,9354858398438;931,6666870117188;999,0;802,8378295898438
5670000;999,0;944,3548583984376;999,0;759,3589477539062
5700000;936,8125;999,0;999,0;791,3421020507812
5730000;998,5;944,53125;999,0;667,6444702148438
5760000;909,4242553710938;937,84375;999,0;628,8125
5790000;999,0;929,71875;999,0;830,1944580078125
