Step;ppo_expanded_looking;ppg_expanded_looking;sac_expanded_looking;droQ_expanded_looking
30000;0,0485499314963817;0,995168685913086;-49,6005744934082;-58,733726501464844
60000;0,0492624416947364;0,8199186325073242;-129,5367889404297;-144,03785705566406
90000;0,0455131940543651;0,5794241428375244;-196,64962768554688;-202,7117156982422
120000;0,0465969294309616;0,4683925807476043;-235,24534606933597;-232,8736114501953
150000;0,052439521998167;0,416946679353714;-255,8829498291016;-245,65090942382812
180000;0,0470835082232952;0,3705563247203827;-265,1465759277344;-222,19781494140625
210000;0,0474322289228439;0,5295624732971191;-266,9381408691406;-215,19773864746094
240000;0,0462662912905216;0,3103488981723785;-267,0536193847656;-209,83035278320312
270000;0,0499790124595165;0,1744449436664581;-264,1436462402344;-201,81118774414062
300000;0,0513974837958812;0,1406005322933197;-258,0019226074219;-193,2126007080078
330000;0,0473944209516048;0,1384324729442596;-250,5003204345703;-184,3928680419922
360000;0,0522462539374828;118,6187515258789;-243,31100463867188;-174,69784545898438
390000;0,0512980669736862;88,62705993652344;-236,66409301757807;-167,02281188964844
420000;0,0487464815378189;66,91619110107422;-229,2566070556641;-160,49331665039062
450000;0,052296832203865;50,76564407348633;-223,3005523681641;-154,22149658203125
480000;0,0508103445172309;37,94246673583984;-217,37307739257807;-147,59478759765625
510000;0,0527230016887187;11,110607147216797;-211,44512939453125;-139,6634521484375
540000;0,0478815659880638;0,6651380658149719;-206,50457763671875;-131,9664764404297
570000;0,0496881678700447;0,5810009837150574;-200,4003448486328;-126,60843658447266
600000;0,0511611625552177;0,3058083951473236;-193,9209747314453;-119,58625030517578
630000;0,0496543459594249;0,1931622773408889;-187,1536102294922;-113,12736511230469
660000;0,0509511977434158;0,985590398311615;-180,83187866210935;-107,10651397705078
690000;0,0518999770283699;2,097993850708008;-174,48947143554688;-101,4155502319336
720000;0,0491608493030071;1,6402615308761597;-168,48390197753906;-96,03489685058594
750000;0,0463234074413776;1,211707353591919;-162,5003662109375;-91,20184326171875
780000;0,0516882538795471;0,8863281607627869;-156,69387817382812;-86,78738403320312
810000;0,0517502389848232;0,6528897881507874;-151,0193328857422;-82,42768859863281
840000;0,0487699098885059;1,024328351020813;-145,15579223632812;-78,33341217041016
870000;0,0500321611762046;0,8700246810913086;-139,4325714111328;-74,32003784179688
900000;0,0519904121756553;0,6544011235237122;-134,0015411376953;-70,53520965576172
930000;0,0502391196787357;0,4850558936595917;-131,64309692382812;-67,03407287597656
960000;0,0511771291494369;0,3990500271320343;-130,69918823242188;-63,78599548339844
990000;0,0519802384078502;24,68024444580078;-125,22216796875;-60,57838439941406
1020000;0,0528211370110511;28,882524490356445;-120,18807220458984;-57,459903717041016
1050000;0,0533203110098838;21,65182876586914;-115,60970306396484;-54,51837921142578
1080000;0,0524923764169216;16,262697219848633;-111,19773864746094;-51,73695373535156
1110000;0,0511610023677349;12,251882553100586;-107,09909057617188;-49,19076919555664
1140000;0,0543758384883403;6,687501430511475;-103,25071716308594;-46,83454895019531
1170000;0,0517397262156009;0,6595569252967834;-99,62039184570312;-44,623992919921875
1200000;0,0516301020979881;0,6502028703689575;-95,89784240722656;-42,55088806152344
1230000;0,0546735934913158;0,3016467094421386;-92,36520385742188;-40,865509033203125
1260000;0,0484294630587101;0,3625041842460632;-88,90387725830078;-39,03574752807617
1290000;0,0481601618230342;1,0706441402435305;-85,70922088623047;-37,20547866821289
1320000;0,0539784803986549;2,5312840938568115;-82,55101013183594;-35,57281494140625
1350000;0,0505717881023883;1,671838402748108;-79,56451416015625;-34,22786331176758
1380000;0,0523311272263526;1,23297119140625;-76,51959228515625;-32,95344924926758
1410000;0,0544606149196624;0,9850894808769226;-73,56441497802734;-31,602182388305664
1440000;0,0519687831401824;0,491572618484497;-70,54498291015625;-30,320009231567383
1470000;0,0530362203717231;0,5813520550727844;-67,76432037353516;-29,087894439697266
1500000;0,0513230971992015;41,82693099975586;-64,63227844238281;-28,01923179626465
1530000;0,0508190095424652;57,40410232543945;-62,90851211547852;-27,121152877807617
1560000;0,0514932014048099;33,76044464111328;-60,79072570800781;-26,15927505493164
1590000;0,0470943264663219;14,748682975769045;-58,66816711425781;-25,18031883239746
1620000;0,0553412176668643;4,9863104820251465;-56,55679321289063;-24,17645263671875
1650000;0,051415842026472;2,989436388015747;-54,51199722290039;-23,996763229370117
1680000;0,049836128950119;2,393772602081299;-52,58102798461914;-23,18477439880371
1710000;0,0532673262059688;1,6972678899765017;-50,64582443237305;-22,356117248535156
1740000;0,049523077905178;0,90350341796875;-48,84475326538086;-21,632692337036133
