Step;sac_expanded_looking;droQ_expanded_looking
30000;28,509052276611328;46,6436653137207
60000;127,8670654296875;144,12477111816406
90000;196,3682403564453;201,922607421875
120000;234,52456665039065;231,8719940185547
150000;255,20054626464844;244,52706909179688
180000;263,7914733886719;220,9397735595703
210000;266,1781005859375;214,55722045898438
240000;265,9945983886719;209,10711669921875
270000;262,9173278808594;201,12855529785156
300000;256,109130859375;192,2259063720703
330000;248,9120635986328;183,8403778076172
360000;241,8223571777344;173,7207794189453
390000;235,03411865234372;165,9253387451172
420000;224,91049194335935;159,364501953125
450000;219,76210021972656;154,12986755371094
480000;213,85198974609372;146,6239013671875
510000;209,74989318847656;138,90989685058594
540000;206,4233245849609;131,3990478515625
570000;200,576416015625;126,09767150878906
600000;190,217041015625;119,09242248535156
630000;185,5124969482422;112,3160629272461
660000;174,4195556640625;106,74114227294922
690000;172,1066131591797;100,82765197753906
720000;167,79981994628906;95,57549285888672
750000;159,85903930664062;90,43284606933594
780000;155,2726593017578;86,03607940673828
810000;150,44424438476562;80,51024627685547
840000;144,27728271484375;77,0543441772461
870000;138,53460693359375;73,4874496459961
900000;133,5424041748047;69,55690002441406
930000;129,3339385986328;66,78231811523438
960000;129,7755584716797;63,66719055175781
990000;124,94867706298828;60,325401306152344
1020000;119,92291259765624;56,91391372680664
1050000;115,3801727294922;54,108760833740234
1080000;110,60983276367188;51,50336456298828
1110000;105,20629119873048;49,143585205078125
1140000;98,12387084960938;46,658382415771484
1170000;93,48573303222656;44,31146240234375
1200000;95,09800720214844;42,282508850097656
1230000;92,2456283569336;40,637638092041016
1260000;88,04653930664062;38,80961608886719
1290000;82,55738067626953;37,1063346862793
1320000;81,24707794189453;35,422454833984375
1350000;79,27574157714844;34,06150817871094
1380000;76,15653991699219;32,822086334228516
1410000;73,3359375;31,138206481933594
1440000;68,8135757446289;29,686588287353516
1470000;67,48930358886719;28,986661911010742
1500000;63,22019577026367;27,078235626220703
1530000;61,66756057739258;26,793861389160156
1560000;58,34765625;25,91564178466797
1590000;58,61133575439453;24,48090362548828
1620000;56,39992904663086;24,01902961730957
1650000;54,1219367980957;24,03102684020996
1680000;52,09213638305664;22,530960083007812
1710000;50,61653518676758;22,519824981689453
1740000;47,56112289428711;20,992937088012695
1770000;43,67008590698242;20,8266544342041
1800000;44,98736572265625;19,875234603881836
1830000;43,795352935791016;18,54901123046875
1860000;42,296504974365234;17,64617347717285
1890000;33,590538024902344;16,85263442993164
1920000;29,85487174987793;16,496723175048828
1950000;27,23294448852539;15,751864433288574
1980000;26,18573570251465;15,478254318237305
2010000;24,38804244995117;14,765914916992188
2040000;23,968942642211918;14,496167182922363
2070000;22,418188095092773;13,638548851013184
2100000;21,38988876342773;12,768013954162598
2130000;20,491680145263672;13,415069580078125
2160000;19,8945255279541;12,997330665588379
2190000;18,8696403503418;12,288869857788086
2220000;18,176794052124023;11,7982759475708
2250000;17,570741653442383;12,088042259216309
2280000;16,702510833740234;11,565746307373047
2310000;16,19009017944336;11,37002182006836
2340000;15,564117431640623;11,23022174835205
2370000;14,901250839233398;10,42297077178955
2400000;13,769698143005373;9,732582092285156
2430000;13,211254119873049;9,230663299560547
2460000;12,843826293945312;9,375341415405273
2490000;12,40219497680664;9,2862548828125
2520000;11,8645658493042;8,436112403869629
